"","category","subcategory","gender","count"
"1","Travel","Airport","female",0.206896551724138
"2","Food","American Restaurant","female",0
"3","Work","Animal Shelter","female",0
"4","GreatOutdoors","Aquarium","female",0
"5","Arts","Arcade","female",0
"6","Arts","Art Gallery","female",0.0862068965517241
"7","Arts","Art Museum","female",0.0689655172413793
"8","Shop","Arts & Crafts Store","female",0.0172413793103448
"9","Food","Asian Restaurant","female",0.0517241379310345
"10","GreatOutdoors","Athletic & Sport","female",0.0172413793103448
"11","Shop","Automotive Shop","female",0
"12","Food","Bagel Shop","female",0.0172413793103448
"13","Food","Bakery","female",0.0689655172413793
"14","Shop","Bank","female",0
"15","Nightlife","Bar","female",0.258620689655172
"16","Arts","Basketball Stadium","female",0
"17","Food","BBQ Joint","female",0
"18","GreatOutdoors","Beach","female",0.0344827586206897
"19","Travel","Bed & Breakfast","female",0.0172413793103448
"20","Nightlife","Beer Garden","female",0.0172413793103448
"21","Shop","Bike Shop","female",0.0172413793103448
"22","Travel","Boat or Ferry","female",0.0517241379310345
"23","Shop","Bookstore","female",0.0344827586206897
"24","Shop","Boutique","female",0
"25","Arts","Bowling Alley","female",0.0172413793103448
"26","Food","Breakfast Spot","female",0.0172413793103448
"27","Food","Brewery","female",0
"28","GreatOutdoors","Bridge","female",0.0172413793103448
"29","Work","Building","female",0.0862068965517241
"30","Travel","Bus Line","female",0
"31","Travel","Bus Station","female",0.275862068965517
"32","Food","Café","female",0.603448275862069
"33","GreatOutdoors","Campground","female",0
"34","Shop","Candy Store","female",0.0172413793103448
"35","Shop","Car Dealership","female",0.0172413793103448
"36","Arts","Casino","female",0.0344827586206897
"37","GreatOutdoors","Castle","female",0
"38","GreatOutdoors","Cemetery","female",0
"39","Food","Chinese Restaurant","female",0.0344827586206897
"40","Work","Church","female",0.0862068965517241
"41","GreatOutdoors","City","female",0.0344827586206897
"42","Work","City Hall","female",0.0172413793103448
"43","Shop","Clothing Store","female",0.103448275862069
"44","Nightlife","Cocktail Bar","female",0.0517241379310345
"45","Education","College & University","female",0.0172413793103448
"46","Education","College Academic Building","female",0.0172413793103448
"47","Education","College Auditorium","female",0
"48","Education","College Cafeteria","female",0
"49","Education","College Classroom","female",0.0344827586206897
"50","Education","College Communications Building","female",0
"51","Education","College Engineering Building","female",0.0172413793103448
"52","Education","College History Building","female",0
"53","Education","College Lab","female",0
"54","Education","College Library","female",0.0689655172413793
"55","Education","College Residence Hall","female",0.0172413793103448
"56","Education","College Science Building","female",0
"57","Education","College Soccer Field","female",0
"58","Education","College Stadium","female",0
"59","Education","College Technology Building","female",0
