"","category","subcategory","gender","count"
"1","Travel","Airport","male",0.305699481865285
"2","Food","American Restaurant","male",0.0310880829015544
"3","Work","Animal Shelter","male",0.00518134715025907
"4","GreatOutdoors","Aquarium","male",0.00518134715025907
"5","Arts","Arcade","male",0.0103626943005181
"6","Arts","Art Gallery","male",0.0207253886010363
"7","Arts","Art Museum","male",0.00518134715025907
"8","Shop","Arts & Crafts Store","male",0.0103626943005181
"9","Food","Asian Restaurant","male",0.0984455958549223
"10","GreatOutdoors","Athletic & Sport","male",0
"11","Shop","Automotive Shop","male",0.0466321243523316
"12","Food","Bagel Shop","male",0
"13","Food","Bakery","male",0.0673575129533679
"14","Shop","Bank","male",0.0155440414507772
"15","Nightlife","Bar","male",0.139896373056995
"16","Arts","Basketball Stadium","male",0.00518134715025907
"17","Food","BBQ Joint","male",0.0103626943005181
"18","GreatOutdoors","Beach","male",0.0310880829015544
"19","Travel","Bed & Breakfast","male",0.0103626943005181
"20","Nightlife","Beer Garden","male",0.0103626943005181
"21","Shop","Bike Shop","male",0.00518134715025907
"22","Travel","Boat or Ferry","male",0
"23","Shop","Bookstore","male",0
"24","Shop","Boutique","male",0.00518134715025907
"25","Arts","Bowling Alley","male",0.00518134715025907
"26","Food","Breakfast Spot","male",0.0103626943005181
"27","Food","Brewery","male",0.0155440414507772
"28","GreatOutdoors","Bridge","male",0.0259067357512953
"29","Work","Building","male",0.0932642487046632
"31","Travel","Bus Line","male",0.0362694300518135
"32","Travel","Bus Station","male",0.10880829015544
"33","Food","Café","male",0.378238341968912
"34","GreatOutdoors","Campground","male",0.00518134715025907
"35","Shop","Candy Store","male",0.0103626943005181
"36","Shop","Car Dealership","male",0
"37","Arts","Casino","male",0
"38","GreatOutdoors","Castle","male",0.00518134715025907
"39","GreatOutdoors","Cemetery","male",0.00518134715025907
"40","Food","Chinese Restaurant","male",0.0103626943005181
"41","Work","Church","male",0.0673575129533679
"42","GreatOutdoors","City","male",0.0207253886010363
"43","Work","City Hall","male",0.0207253886010363
